Result,Margin,BR,Toss,Bat,FirstBatScore,Date
won,4 runs,,won,1st,170,01/10/78
lost,8 wickets,139,lost,1st,79,13/10/78
lost,,,lost,2nd,205,03/11/78
lost,14 runs,,won,2nd,224,03/12/82
lost,37 runs,,lost,2nd,263,17/12/82
won,18 runs,,lost,2nd,252,31/12/82
lost,8 wickets,30,won,1st,197,21/01/83
won,4 wickets,18,won,2nd,151,10/09/83
won,4 wickets,32,won,2nd,166,02/10/83
won,54 runs,,won,1st,188,13/04/84
lost,46 runs,,won,2nd,199,12/10/84
n/r,-,,lost,1st,210,31/10/84
won,6 wickets,25,lost,2nd,183,20/02/85
won,8 wickets,17,lost,2nd,176,10/03/85
won,38 runs,,lost,1st,125,22/03/85
lost,48 runs,,won,2nd,203,17/11/85
lost,1 wickets,0,lost,1st,245,18/04/86
lost,3 wickets,9,lost,1st,144,05/12/86
lost,3 wickets,6,lost,1st,196,27/01/87
lost,2 wickets,3,lost,1st,238,18/02/87
won,,,lost,1st,212,20/03/87
lost,6 wickets,28,won,1st,120,22/03/87
lost,41 runs,,won,2nd,286,24/03/87
lost,5 wickets,4,lost,1st,265,26/03/87
lost,8 wickets,50,lost,1st,183,10/04/87
lost,34 runs,,won,2nd,246,19/10/88
won,4 wickets,26,won,2nd,142,31/10/88
lost,6 wickets,8,won,1st,273,15/10/89
lost,38 runs,,won,2nd,252,20/10/89
lost,77 runs,,won,2nd,279,28/10/89
lost,7 runs,,won,2nd,87,18/12/89
lost,38 runs,,won,2nd,150,22/12/89
lost,26 runs,,won,2nd,235,27/04/90
won,60 runs,,won,1st,238,18/10/91
lost,4 runs,,lost,2nd,257,23/10/91
lost,72 runs,,won,2nd,262,25/10/91
won,43 runs,,won,1st,216,04/03/92
lost,6 wickets,33,lost,1st,219,15/04/94
lost,39 runs,,won,2nd,250,22/04/94
lost,97 runs,,lost,2nd,266,07/04/95
won,39 runs,,won,1st,287,09/03/96
lost,8 wickets,30,lost,1st,226,05/04/96
lost,38 runs,,won,2nd,271,12/04/96
won,28 runs,,won,1st,305,15/04/96
won,8 wickets,19,won,2nd,170,16/09/96
lost,2 wickets,1,lost,1st,264,17/09/96
won,55 runs,,won,1st,191,18/09/96
lost,97 runs,,won,2nd,258,21/09/96
lost,52 runs,,lost,2nd,213,23/09/96
lost,35 runs,,lost,2nd,327,21/05/97
n/r,-,,won,2nd,421,20/07/97
won,20 runs,,lost,1st,208,13/09/97
won,7 wickets,92,lost,2nd,116,14/09/97
n/r,-,,won,2nd,169,17/09/97
won,34 runs,,lost,1st,182,18/09/97
won,7 wickets,3,won,2nd,159,20/09/97
lost,5 wickets,37,lost,1st,250,21/09/97
lost,5 wickets,33,won,1st,170,28/09/97
won,4 wickets,3,lost,2nd,265,30/09/97
lost,9 wickets,136,lost,1st,216,02/10/97
lost,4 wickets,16,won,1st,239,14/12/97
won,18 runs,,lost,1st,245,11/01/98
won,8 wickets,53,lost,2nd,212,14/01/98
lost,6 wickets,111,won,1st,189,16/01/98
won,3 wickets,1,won,2nd,314,18/01/98
won,6 wickets,38,won,2nd,189,12/09/98
lost,51 runs,,won,2nd,246,13/09/98
lost,77 runs,,won,2nd,257,16/09/98
lost,134 runs,,won,2nd,316,19/09/98
lost,5 wickets,10,won,1st,256,20/09/98
lost,143 runs,,lost,2nd,278,24/03/99
lost,7 wickets,30,won,1st,196,01/04/99
lost,123 runs,,lost,2nd,291,04/04/99
lost,116 runs,,lost,2nd,279,08/04/99
won,6 wickets,11,lost,2nd,205,13/04/99
lost,8 wickets,132,won,1st,125,16/04/99
won,47 runs,,won,1st,227,08/06/99
lost,2 wickets,0,won,1st,195,10/01/00
lost,32 runs,,won,2nd,262,21/01/00
won,48 runs,,won,1st,267,25/01/00
lost,104 runs,,lost,2nd,261,28/01/00
won,5 wickets,39,lost,2nd,146,23/03/00
lost,98 runs,,lost,2nd,272,26/03/00
lost,44 runs,,lost,2nd,295,03/06/00
won,6 wickets,26,lost,2nd,273,01/03/03
won,5 runs,,lost,1st,349,13/03/04
lost,12 runs,,lost,2nd,329,16/03/04
lost,4 wickets,16,lost,1st,244,19/03/04
won,5 wickets,30,lost,2nd,293,21/03/04
won,40 runs,,lost,1st,293,24/03/04
lost,59 runs,,lost,2nd,300,25/07/04
lost,66 runs,,won,2nd,192,21/08/04
lost,3 wickets,4,lost,1st,200,19/09/04
lost,6 wickets,6,won,1st,292,13/11/04
won,87 runs,,won,1st,281,02/04/05
won,58 runs,,won,1st,356,05/04/05
lost,106 runs,,lost,2nd,319,09/04/05
lost,3 wickets,0,won,1st,315,12/04/05
lost,5 wickets,47,won,1st,249,15/04/05
lost,159 runs,,lost,2nd,303,17/04/05
lost,7 runs,,lost,1st,328,06/02/06
won,7 wickets,41,lost,2nd,265,11/02/06
won,5 wickets,14,won,2nd,288,13/02/06
won,5 wickets,105,won,2nd,161,16/02/06
won,8 wickets,19,won,2nd,286,19/02/06
lost,6 wickets,9,won,1st,197,18/04/06
won,51 runs,,won,1st,269,19/04/06
won,5 wickets,18,lost,2nd,239,05/11/07
lost,4 wickets,1,won,1st,321,08/11/07
won,46 runs,,lost,1st,294,11/11/07
won,6 wickets,21,lost,2nd,255,15/11/07
lost,31 runs,,won,2nd,306,18/11/07
won,140 runs,,won,1st,330,10/06/08
lost,25 runs,,lost,2nd,315,14/06/08
won,6 wickets,47,lost,2nd,299,26/06/08
lost,8 wickets,27,won,1st,308,02/07/08
lost,54 runs,,lost,2nd,302,26/09/09
won,3 wickets,1,lost,2nd,267,19/06/10
won,29 runs,,won,1st,260,30/03/11
won,6 wickets,13,lost,2nd,329,18/03/12
lost,6 wickets,11,lost,1st,227,30/12/12
lost,85 runs,,won,2nd,250,03/01/13
won,10 runs,,won,1st,167,06/01/13
won,8 wickets,17,won,2nd,165,15/06/13
lost,1 wickets,2,lost,1st,245,02/03/14
